id1,id,proc,order,time,score
228,320,1,1,1,4.25
228,320,1,1,2,6
229,321,1,2,1,2.5
229,321,1,2,2,2.5
230,322,1,2,1,4
230,322,1,2,2,3.5
231,323,1,1,1,2
231,323,1,1,2,3.5
232,324,1,2,1,3.5
232,324,1,2,2,6
235,327,1,2,1,2
235,327,1,2,2,1.5
241,334,1,1,1,4
241,334,1,1,2,4.25
242,335,1,2,1,1.75
242,335,1,2,2,3.75
243,336,1,1,1,2.25
243,336,1,1,2,2.5
244,337,1,1,1,4
244,337,1,1,2,2
245,338,1,1,1,2
245,338,1,1,2,3.75
246,339,1,2,1,1
246,339,1,2,2,1
252,347,1,2,1,2
252,347,1,2,2,3
253,348,1,2,1,6
253,348,1,2,2,5.75
256,351,1,1,1,2
256,351,1,1,2,3
257,352,1,2,1,1
257,352,1,2,2,1
259,354,1,1,1,2
259,354,1,1,2,2
260,356,1,2,1,5
260,356,1,2,2,2
262,358,1,2,1,2
262,358,1,2,2,2
263,359,1,1,1,3
263,359,1,1,2,2
266,362,1,1,1,3.5
266,362,1,1,2,5
267,363,1,2,1,2
267,363,1,2,2,5.5
271,367,1,2,1,4
271,367,1,2,2,4
273,370,1,2,1,2.25
273,370,1,2,2,5
274,371,1,2,1,3.25
274,371,1,2,2,3
277,374,1,1,1,3.25
277,374,1,1,2,4
278,375,1,1,1,2.75
278,375,1,1,2,2.75
282,380,1,2,1,2
282,380,1,2,2,4.75
284,382,1,2,1,3
284,382,1,2,2,5.25
287,385,1,2,1,1
287,385,1,2,2,1.5
288,386,1,2,1,2.5
288,386,1,2,2,3.5
292,392,1,2,1,1
292,392,1,2,2,4.75
293,393,1,1,1,2
293,393,1,1,2,2
295,395,1,1,1,2.75
295,395,1,1,2,7
297,397,1,2,1,4.25
297,397,1,2,2,3.75
298,399,1,2,1,5
298,399,1,2,2,2.25
300,401,1,1,1,2.5
300,401,1,1,2,2.5
301,402,1,1,1,2
301,402,1,1,2,2
303,404,1,2,1,1
303,404,1,2,2,7
304,405,1,1,1,2.25
